Wielomian interpolacyjny Newtona w punktach le¿¹cych w przedziale <-3,3>
dla funkcji f(x)=|cos(x)*x|
Wezly rownolegle n=7
Wartosci w wezlach:
x0: -3                  y0: 2.96998
x1: -2.14286            y1: 1.16007
x2: -1.28571            y2: 0.361589
x3: -0.428571           y3: 0.389812
x4: 0.428571            y4: 0.389812
x5: 1.28571             y5: 0.361589
x6: 2.14286             y6: 1.16007
x7: 3                   y7: 2.96998

Wartosci w 150 wezlach
i     x       f(x)                L(x)                error
31    -1.76   0.331015            0.263077            0.0679385           
32    -1.72   0.255679            0.214962            0.0407171           
33    -1.68   0.183098            0.17249             0.0106081           
34    -1.64   0.113403            0.13559             0.0221869           
35    -1.6    0.0467192           0.104168            0.0574484           
36    -1.56   0.0168419           0.0780996           0.0612577           
37    -1.52   0.0771772           0.057241            0.0199362           
38    -1.48   0.134194            0.041425            0.0927691           
39    -1.44   0.18781             0.0304654           0.157345            
40    -1.4    0.237954            0.0241586           0.213795            
41    -1.36   0.284565            0.0222849           0.26228             
42    -1.32   0.327592            0.0246109           0.302981            
43    -1.28   0.366995            0.0308908           0.336105            
44    -1.24   0.402747            0.0408682           0.361879            
45    -1.2    0.434829            0.054278            0.380551            
46    -1.16   0.463234            0.0708474           0.392386            
47    -1.12   0.487964            0.0902979           0.397666            
48    -1.08   0.509035            0.112347            0.396688            
49    -1.04   0.526469            0.136708            0.389761            
50    -1      0.540302            0.163094            0.377208            
51    -0.96   0.550579            0.191218            0.359361            
52    -0.92   0.557355            0.220793            0.336561            
53    -0.88   0.560693            0.251535            0.309158            
54    -0.84   0.560669            0.283163            0.277506            
55    -0.8    0.557365            0.315401            0.241965            
56    -0.76   0.550875            0.347978            0.202898            
57    -0.72   0.5413              0.38063             0.16067             
58    -0.68   0.528749            0.413101            0.115648            
59    -0.64   0.513341            0.445144            0.0681975           
60    -0.6    0.495201            0.47652             0.0186814           
61    -0.56   0.474463            0.507002            0.0325387           
62    -0.52   0.451266            0.536372            0.085106            
63    -0.48   0.425758            0.564426            0.138668            
64    -0.44   0.398091            0.590971            0.19288             
65    -0.4    0.368424            0.615828            0.247404            
66    -0.36   0.336923            0.638831            0.301908            
67    -0.32   0.303755            0.659828            0.356073            
68    -0.28   0.269096            0.678683            0.409587            
69    -0.24   0.233121            0.695273            0.462152            
70    -0.2    0.196013            0.709493            0.51348             
71    -0.16   0.157956            0.721252            0.563296            
72    -0.12   0.119137            0.730476            0.611339            
73    -0.08   0.0797441           0.737106            0.657361            
74    -0.04   0.039968            0.7411              0.701132            
75    0       0                   0.742434            0.742434            
76    0.04    0.039968            0.7411              0.701132            
77    0.08    0.0797441           0.737106            0.657361            
78    0.12    0.119137            0.730476            0.611339            
79    0.16    0.157956            0.721252            0.563296            
80    0.2     0.196013            0.709493            0.51348             
81    0.24    0.233121            0.695273            0.462152            
82    0.28    0.269096            0.678683            0.409587            
83    0.32    0.303755            0.659828            0.356073            
84    0.36    0.336923            0.638831            0.301908            
85    0.4     0.368424            0.615828            0.247404            
86    0.44    0.398091            0.590971            0.19288             
87    0.48    0.425758            0.564426            0.138668            
88    0.52    0.451266            0.536372            0.085106            
89    0.56    0.474463            0.507002            0.0325387           
90    0.6     0.495201            0.47652             0.0186814           
91    0.64    0.513341            0.445144            0.0681975           
92    0.68    0.528749            0.413101            0.115648            
93    0.72    0.5413              0.38063             0.16067             
94    0.76    0.550875            0.347978            0.202898            
95    0.8     0.557365            0.315401            0.241965            
96    0.84    0.560669            0.283163            0.277506            
97    0.88    0.560693            0.251535            0.309158            
98    0.92    0.557355            0.220793            0.336561            
99    0.96    0.550579            0.191218            0.359361            
100   1       0.540302            0.163094            0.377208            
101   1.04    0.526469            0.136708            0.389761            
102   1.08    0.509035            0.112347            0.396688            
103   1.12    0.487964            0.0902979           0.397666            
104   1.16    0.463234            0.0708474           0.392386            
105   1.2     0.434829            0.054278            0.380551            
106   1.24    0.402747            0.0408682           0.361879            
107   1.28    0.366995            0.0308908           0.336105            
108   1.32    0.327592            0.0246109           0.302981            
109   1.36    0.284565            0.0222849           0.26228             
110   1.4     0.237954            0.0241586           0.213795            
111   1.44    0.18781             0.0304654           0.157345            
112   1.48    0.134194            0.041425            0.0927691           
113   1.52    0.0771772           0.057241            0.0199362           
114   1.56    0.0168419           0.0780996           0.0612577           
115   1.6     0.0467192           0.104168            0.0574484           
116   1.64    0.113403            0.13559             0.0221869           
117   1.68    0.183098            0.17249             0.0106081           
118   1.72    0.255679            0.214962            0.0407171           
119   1.76    0.331015            0.263077            0.0679385           
120   1.8     0.408964            0.316873            0.0920907           
121   1.84    0.489374            0.376359            0.113015            
122   1.88    0.572084            0.441507            0.130577            
123   1.92    0.656927            0.512256            0.144672            
124   1.96    0.743725            0.588503            0.155222            
125   2       0.832294            0.670107            0.162186            
126   2.04    0.922439            0.756882            0.165557            
127   2.08    1.01396             0.848596            0.165366            
128   2.12    1.10666             0.94497             0.161688            
